model,order,subject,p_c,win_size,BIC
fixed_decay,0,20,0.05126291717176264,7,-207.12330073443368
fixed_decay,0,21,0.05042494285805062,6,-112.656358219348
fixed_decay,0,22,0.05152903369842959,6,-158.7176288398623
fixed_decay,0,23,0.05233575795560952,7,-214.2710000506226
fixed_decay,0,24,0.050796820841633505,7,-178.99930922187306
fixed_decay,0,25,0.05237352825002465,6,-189.18847128763315
fixed_decay,0,26,0.052244209966554545,6,-185.06619030654167
fixed_decay,0,27,0.05103719244548745,7,-187.44194117182582
fixed_decay,0,28,0.05086976761271133,6,-166.07644897400613
fixed_decay,0,29,0.050524199045930376,7,-227.95399339262474
fixed_decay,0,30,0.050326572754485294,6,-161.0296467345032
fixed_decay,0,31,0.050467141884285506,7,-210.55127881895245
fixed_decay,0,32,0.05134658048782739,8,-218.32397405861488
fixed_decay,0,33,0.050476475525008224,6,-133.4702732411892
fixed_decay,0,36,0.050649048928601385,6,-151.50081896159995
fixed_decay,0,37,0.050645817824714195,8,-173.9866506579147
fixed_decay,0,38,0.05058301789436736,6,-169.08804805185662
fixed_decay,0,39,0.051446008353205855,6,-105.84990264014428
fixed_decay,0,41,0.052157576618952456,6,-162.18099988161694
fixed_decay,0,42,0.050679376841203876,7,-147.43282949979806
fixed_decay,0,43,0.05195269255580538,6,-152.55970560278396
fixed_decay,0,44,0.052400011759642054,7,-144.12610293001308
fixed_window,0,6,0.05101278107693216,6,-181.88023527931574
fixed_window,0,7,0.05173583712553309,7,-153.49774578384367
fixed_window,0,8,0.05011058026510787,7,-178.62450677546082
fixed_window,0,9,0.050077831469508755,7,-174.2192822410166
fixed_window,0,10,0.05104781431440807,6,-170.1283130212607
fixed_window,0,11,0.05055830154266975,6,-198.51594313778145
fixed_window,0,13,0.05070320300322763,7,-155.1923175017382
fixed_window,0,14,0.050488712577627215,7,-191.94925890034628
fixed_window,0,15,0.05227329864408952,6,-161.4430567653654
fixed_window,0,16,0.05106377523850302,6,-184.36140580073058
fixed_window,0,17,0.05088293705952926,6,-185.1025394864535
fixed_window,0,18,0.0514436043323521,7,-186.6998389148961
fixed_window,0,19,0.050876645629902656,6,-175.6318040003853
fixed_window,0,20,0.05035192288982572,6,-207.31762131633752
fixed_window,0,21,0.05232565239644482,7,-111.18831938058018
fixed_window,0,22,0.05012086736974475,8,-158.45987458038653
fixed_window,0,23,0.05184078889949342,6,-212.072096234543
fixed_window,0,24,0.050219975187738186,6,-177.3629082856163
fixed_window,0,25,0.051815905497382145,6,-189.29831360606198
fixed_window,0,26,0.05117781888835563,7,-184.8292766253529
fixed_window,0,27,0.05202438064362648,7,-186.12238232454175
fixed_window,0,28,0.05021602768992796,7,-167.59679830505573
fixed_window,0,29,0.051558314209846134,8,-228.37956837093608
fixed_window,0,30,0.05187516538729112,8,-158.92679875665726
fixed_window,0,31,0.05056192971088194,7,-209.9204936072683
fixed_window,0,32,0.05158904013364313,7,-218.4043849484762
fixed_window,0,33,0.05160495383256789,8,-133.27144149149498
fixed_window,0,36,0.0522676949503241,6,-150.86160396469742
fixed_window,0,37,0.05118937308002656,6,-171.43384983853178
fixed_window,0,38,0.0508741819825588,7,-171.88899917207726
fixed_window,0,39,0.051988592331523455,7,-105.88433924992445
fixed_window,0,41,0.05032701547672555,6,-162.26675523401184
fixed_window,0,42,0.05174942987838066,7,-147.30562765930856
fixed_window,0,43,0.05201317645901891,8,-152.6111925385383
fixed_window,0,44,0.05245880056601774,7,-146.27392648777564
