model,order,subject,p_c,trial_size,BIC
fixed_decay,1,6,0.6349614317782494,2.391728834959552,-180.76652440495792
fixed_decay,1,7,0.5913198616852832,1.5880228221579804,-153.37353743787438
fixed_decay,1,8,0.6129529837377913,1.6831760932513153,-189.1897474470562
fixed_decay,1,9,0.6344419704580024,1.2802212379005382,-179.86357585321463
fixed_decay,1,10,0.7178589929502738,1.5248881945048502,-168.6118647075446
fixed_decay,1,11,0.7123421750190513,1.5965029214233775,-208.44730127670212
fixed_decay,1,13,0.6759564797559156,1.28957950737919,-139.47261255586915
fixed_decay,1,14,0.6229122513281051,1.001658781145537,-189.955782059787
fixed_decay,1,15,0.6338418419446454,1.898861762078908,-161.35983722910498
fixed_decay,1,16,0.6428003231634922,2.1640530486129697,-184.52570296532377
fixed_decay,1,17,0.6887798865956408,2.5616862637367106,-185.73765429683047
fixed_decay,1,18,0.6776558376978203,2.262397054472865,-187.51409410063133
fixed_decay,1,19,0.6140015172793262,2.4448745900597837,-179.0095695527324
fixed_decay,1,20,0.6932678804343549,1.0275793477725432,-206.92271068484513
fixed_decay,1,21,0.6721428126535566,1.1245066513580488,-112.95441003469821
fixed_decay,1,22,0.6285167265912995,1.0524613259011903,-159.16072278532502
fixed_decay,1,23,0.5858304990703754,2.4561578976637484,-218.22030204132355
fixed_decay,1,24,0.5438187860409822,1.9564797438608796,-178.3285254539215
fixed_decay,1,25,0.7217179800100324,2.5623084792210826,-189.42613470912687
fixed_decay,1,26,0.7143910036000245,2.3566401726555335,-180.4385013153467
fixed_decay,1,27,0.6815063260957333,1.2697593865670667,-181.57844594056405
fixed_decay,1,28,0.5657919525239083,1.6730348064190104,-165.37775361744644
fixed_decay,1,29,0.613667522743679,2.191327509881085,-226.57263928299795
fixed_decay,1,30,0.6151724543808309,2.1648612726585434,-160.1670021015521
fixed_decay,1,31,0.6845782293935235,1.0926633742251841,-211.56169073263783
fixed_decay,1,32,0.6796451770895793,2.1985309133454183,-218.2670702616098
fixed_decay,1,33,0.5287767063511172,1.2583265741308869,-133.28610353903287
fixed_decay,1,36,0.706843355775999,1.249461262791693,-150.79170995045965
fixed_decay,1,37,0.712586509743271,2.001767419378665,-169.0024883218068
fixed_decay,1,38,0.5786612671174332,1.907059291145311,-173.81815311808006
fixed_decay,1,39,0.5450219175727667,2.3580355550010856,-105.8621287927793
fixed_decay,1,41,0.6855614004421178,1.0483332249907158,-162.48426382803288
fixed_decay,1,42,0.7310024241986272,1.9482044079836682,-147.01323830599378
fixed_decay,1,43,0.5149924863680165,2.3424034899763857,-152.57286491122403
fixed_decay,1,44,0.7019709249185774,1.0797758445211323,-144.7063099702862
fixed_window,1,6,0.6175223140518142,1.0569586175092893,-179.89310227012902
fixed_window,1,7,0.5930038153158971,1.5911547433517395,-153.37320676015776
fixed_window,1,8,0.5349873857655724,2.4520078498691915,-189.4099315369072
fixed_window,1,9,0.7276604583699683,1.0559991050875592,-180.93389162618058
