model,order,subject,p_c,trial_size,BIC
fixed_decay,0,28,0.5287775108346469,2.2676431915020765,-163.30740906820006
fixed_decay,0,29,0.5693633416695217,2.513682948461363,-226.76209110468196
fixed_decay,0,30,0.6069713426274685,1.0729929514784362,-158.23347267942032
fixed_decay,0,31,0.5640475250462309,1.8938918900631485,-210.98716812385166
fixed_decay,0,32,0.612753271362814,1.6493494827537003,-218.33788217992787
fixed_decay,0,33,0.6661345299153643,1.780973982486564,-133.29438164548176
fixed_decay,0,36,0.7139608307265666,1.0319551945350616,-150.81134098069106
fixed_decay,0,37,0.5824174453256048,2.6054667246144048,-172.30673149845586
fixed_decay,0,38,0.6947321085360831,1.2431826464538007,-168.3518663612953
fixed_decay,0,39,0.6088631400281262,1.6085666336781301,-106.18846871166464
fixed_decay,0,41,0.6933306188344043,1.460984795603042,-162.16612041035617
fixed_decay,0,42,0.5817104259409928,2.3562828436584824,-147.000713061542
fixed_decay,0,43,0.5968714442518892,1.5877482015117803,-152.9572512979484
fixed_decay,0,44,0.6141599846391572,1.6477630895256234,-141.8878278980545
fixed_window,0,6,0.5884215318459276,1.530010952485537,-182.3226358108136
fixed_window,0,7,0.7138619486358199,2.303609002224563,-153.4292968196954
fixed_window,0,8,0.5761538720345076,1.1712633705756341,-185.07781819744224
fixed_window,0,9,0.6445938953787315,1.0432927209907672,-170.7270295282751
fixed_window,0,10,0.5072573188736795,1.2247611720575817,-169.76581239502056
fixed_window,0,11,0.5265529017214317,1.9995055951770817,-199.5251356068247
fixed_window,0,13,0.6148207742737433,1.4325555545306923,-151.88046245935962
fixed_window,0,14,0.6404878445517012,2.6272756007879696,-194.9763980042388
fixed_window,0,15,0.6804976376140117,1.2108859811644332,-161.0309358314169
fixed_window,0,16,0.5377867551056792,1.0971356833794543,-184.6135859192434
fixed_window,0,17,0.5276185635895602,1.919465271517776,-188.7165437370305
fixed_window,0,18,0.5161297935851923,2.145034889799975,-186.9798363622323
fixed_window,0,19,0.5439394998523891,1.8059036972789497,-175.7565984932041
fixed_window,0,20,0.5128662300372574,1.7893356662519306,-206.99990180788427
fixed_window,0,21,0.6097450410770007,2.4870972460096143,-112.38929611470104
fixed_window,0,22,0.617324456990267,1.2723671216841554,-157.5961107179567
fixed_window,0,23,0.6590593084996443,1.9500203966171483,-213.6345471620863
fixed_window,0,24,0.5074997475703226,2.354269135216404,-179.38386959943665
fixed_window,0,25,0.6920707175773211,1.8960394609060902,-187.94044704733497
fixed_window,0,26,0.7251455448257088,2.2202084892993725,-185.12244476753523
fixed_window,0,27,0.5437640296550493,1.139196539798449,-184.4816903458353
fixed_window,0,28,0.7044567545142575,1.0092387375080165,-164.9524075833431
fixed_window,0,29,0.5930858116470027,1.1109447367737795,-227.43715106100842
fixed_window,0,30,0.543254739579915,1.282496101351387,-161.46130518554202
fixed_window,0,31,0.5259740259550724,2.2366726844777722,-211.9959264760874
fixed_window,0,32,0.6804375751141671,2.1156472834980127,-218.2712880935158
fixed_window,0,33,0.5091407238715543,2.1537401679659554,-133.42066520822124
fixed_window,0,36,0.6471315033545998,2.666897853863785,-150.84644371297438
fixed_window,0,37,0.6601858585491304,2.049756509289441,-174.18214962777253
fixed_window,0,38,0.5393085047510541,1.5999070790303342,-167.73872312954728
fixed_window,0,39,0.7000852176163814,1.0150280011463089,-106.3621889459027
fixed_window,0,41,0.7309539861700526,2.31366748549376,-162.27339540546924
fixed_window,0,42,0.5567023904115889,1.3530077602638342,-147.15482936622746
fixed_window,0,43,0.7146468939321723,1.0311400090827458,-152.9843748503327
fixed_window,0,44,0.5068283437914933,2.3539969606894764,-139.19738617913114
